Sample number,Protein,concentration (mg/ml),Spinning device,Extrusion device,Number of baths,Temperature SB,Spinning Buffer,SB pH,SB conc. (mM),NaCl (mM),Capillery type,Capillery size (um),Reeling speed (rpm),Flow rate (ul/min),pumppressure (bar),Temp C (spinning),Humidity (spinning),Continous spinning,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,Diameter (µm),Strain (mm/mm),Strength (MPa),Youngs Modulus (GPa),Toughness Modulus (MJ m-3)
23,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,14.65,1.09073,132.8658812775804,3.9,133.5097220028127
23,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,10.23,0.86704,112.82731035630847,3.1,87.52994648234325
23,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,12.44,0.8482,79.12199560744584,2.3,60.24827525179817
23,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,11.84,1.15513,92.54495913097912,1.9,96.29747708708238
23,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,10.08,0.0807099999999999,47.04098222713448,1.5,2.9102501545081605
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.7,0.3811797198658512,139.90999799136563,3.0,43.04032533319269
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,12.7,1.1551198344215252,101.27310552312986,2.7,92.19039787900556
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.93,0.9460634501252044,108.72024279822912,2.6,74.35300238684223
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.75,1.328913779114638,149.01637554477446,3.5,148.9412291318074
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,9.92,1.0407403415604397,156.50783804123435,3.9,121.11468546722148
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,9.0,0.3369319778654288,68.91416895382433,2.0,22.78567564544005
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.95,1.378866334586836,148.54243666615997,3.4,155.71848254376786
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.94,1.202708170899006,115.95163327891284,3.0,103.5591012129282
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,6.4,1.2119825033386884,221.74790890425297,5.5,193.8129868075066
24,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,12.21,1.3835015795780532,104.8957239270304,1.4,109.82601712067392
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,10.42,0.8038720376405253,90.68854941217174,2.3,55.69212841500369
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,8.99,0.6388686095380912,97.40396497386182,2.7,48.64941830471966
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,10.87,0.8039059308681358,75.03064735495494,2.0,47.50597139296722
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,7.26,0.6671198904602775,190.7330114856128,4.9,102.3024191984806
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,8.23,0.5473697802852715,79.72303815721847,1.7,33.616371713211564
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,8.77,0.906191550490735,136.97147188451962,2.7,96.59509865643066
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,9.02,0.8188309055487981,117.11038879695369,2.4,70.63591751299731
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,11.68,1.0145282793256007,187.5165503186232,4.6,151.4060357776623
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,10.94,0.7368668514727346,65.36709668695978,1.5,38.10981201643199
25,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,8.07,0.23665429349171,91.13496079381574,2.7,19.628085565621383
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,22.76,0.0388094601155267,50.1029775353182,1.8,1.1359587102165631
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,14.98,0.0633819107101549,101.15013382668602,1.3,3.3285843683103264
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,21.56,0.045279354793964,84.78798112178829,2.7,2.2334354609213944
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,20.27,0.0377291418469697,43.9244554841844,1.2,0.873757442028166
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,28.9,0.0328464630304466,48.90647837850622,1.9,0.878336359480831
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,19.02,0.0378651852586677,78.51820541405148,3.0,1.7177242261213763
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,11.64,0.0340008216136842,141.18397230613547,4.5,2.5852664837696344
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,15.47,0.0333594392838377,67.95244106442193,2.8,1.339465579914069
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,17.9,0.0325099981144995,48.4239929184541,2.2,0.9462045534342052
26,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,100.0,50.0,17.0,,21.2,0.1,yes,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,16.44,0.0338154038341421,78.82268661742533,2.9,1.48803257081984
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,17.31,0.0362285546703162,56.7632823375794,2.2,1.2275977521154016
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,16.71,0.0714229847626225,47.51176674792718,1.0,1.982857920694613
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,15.1,0.0439581607689788,67.83466930029878,2.1,1.73030153141126
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,15.19,0.0390468562274729,58.58612205403243,0.9,1.1110221357489485
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,19.66,0.0522725930591917,98.88234755143472,2.7,2.926983537793051
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,17.23,0.0603986527742215,64.01171046830412,1.3,2.234885915919151
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,16.95,0.0572806843047543,91.33187308694072,3.1,3.381410085547789
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,17.47,0.0628971177050099,74.77940741657417,1.4,2.739465675340681
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,16.37,0.0560638025197657,66.264574920446,1.8,2.1954237623451136
27,Rep7 Tusp (30%) & NT2RepCT (70%),325.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,70.0,100.0,17.0,,21.2,0.1,no,7.459631762881473,-3.141251645413538,-6.579778765147892,0.3097070086392586,2.783802426319594,-0.1400427402200247,-2.318414244166287,1.5725057452665945,-3.3120247472841835,-0.686935463463148,0.6898977729028449,1.4457745048484472,0.6672603991290609,-1.3791124174715113,-1.3242124252889766,17.19,0.0966128201890293,93.32852701006288,1.9,5.393503903533653
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.17,1.1899143075059444,55.50881195436779,1.5,51.43251323599996
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,11.11,1.0148097734919432,99.25931517328512,1.6,67.32868771380552
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,5.11,0.7066303805151198,219.33359076201512,3.5,102.91639333038846
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,8.77,0.9502459606265832,114.93305776783664,2.7,80.783438657591
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,9.8,0.8841408101754762,132.3600384578826,2.7,81.22485984574533
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,9.32,1.1621218997257352,137.81257275064473,2.8,119.2031611024174
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.89,0.8472560975609758,107.43357579093367,2.0,63.92279715999397
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,17.25,0.8982724580454096,85.38082839362254,1.5,53.58527667636085
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,9.14,0.5944964366825907,122.8340642001186,2.9,56.959369008708286
28,Rep1,360.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.5,0.1,yes,-14.93133750913569,10.626462693688577,8.197519806453661,-4.070632866128462,7.911202918972889,1.292103797939342,-2.7454747153387973,-3.7526579066560624,-1.937243213207237,6.067176044057685,4.120939431155018,3.7696357743123294,-4.0145083286364,-0.4570974404299114,-2.1950310710874965,10.17,0.8994338217480642,134.66445609472785,2.1,85.23537925017544
